system:index,avg_rad,.geo
54_0,0.21843295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.7286026976927,4.552212702275676]}"
55_0,0.7756577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.85274529567616,5.064252414223803]}"
56_0,3.836345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97850943545289,4.7184010298377865]}"
57_0,0.17550524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.1581724922768,4.089580330954122]}"
58_0,0.24420743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.71350642663764,4.745350488361373]}"
59_0,0.17146845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.55343121728939,3.757203675829899]}"
60_0,0.38959286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.80333795504959,4.242293929254441]}"
61_0,0.600401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00096731755589,4.484839055966711]}"
62_0,50.601715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.12223988091202,4.556704278696273]}"
63_0,0.21362606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.46359968887744,3.972799344018584]}"
64_0,0.28234214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.77638849652601,5.16306709547695]}"
65_0,0.24349691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.56690594655119,4.74984206478197]}"
66_0,0.22497791,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.05324469280978,5.046286108541413]}"
67_0,0.22099057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.63265805106688,5.486460597759978]}"
68_0,0.1798451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.35867188941043,5.7514636065752365]}"
69_0,0.28546974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.74943903800242,4.377041221872369]}"
70_0,0.38940018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.40970077183027,4.197378165048464]}"
71_0,0.30698228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.31375612520445,5.248407047468304]}"
72_0,0.21250732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.68206539169346,4.426448562498942]}"
73_0,0.26869136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.43502868856059,3.7392373701475083]}"
74_0,0.18727906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.87233314315182,5.396629069348026]}"
75_0,0.20647033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.20146671468952,3.7616952522504965]}"
76_0,0.3037319,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.17900883258652,5.607733161116113]}"
77_0,0.18635212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.27495347921234,5.540359514807149]}"
78_0,0.18069036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.05324469280978,5.374171187245038]}"
79_0,0.2671552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.51300702950401,4.951963003708863]}"
80_0,0.23763163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.039769963548,5.607733161116113]}"
81_0,0.2171285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.16553410332473,5.3876459165068304]}"
82_0,0.43207473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.60733013433656,4.839673593193922]}"
83_0,0.17353778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.24351244426816,5.4640027156569895]}"
84_0,0.2123071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.44563338319504,5.428070104292209]}"
85_0,0.19983415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.11612676269816,5.073235567064998]}"
86_0,0.18512441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.39173446614788,5.764938335837029]}"
87_0,0.3170382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.52648175876581,4.076105601692329]}"
88_0,0.31258753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.40071761898908,5.073235567064998]}"
89_0,0.30056953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.7808800729466,5.57629212617193]}"
90_0,1.3999509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.69716166274851,4.165937130104282]}"
91_0,0.1841662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.19697513826891,4.925013545185277]}"
92_0,0.24981636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.86334999031062,4.686959994893604]}"
93_0,0.5753691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.31537766699772,4.359074916189979]}"
94_0,0.24577686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.79597634400166,3.914408850550815]}"
95_0,0.2548061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.77638849652601,4.808232558249739]}"
96_0,0.37702492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.24800402068875,4.9295051216058745]}"
97_0,0.57122445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.36478500762429,4.713909453417189]}"
98_0,0.195595,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.72698115589944,4.615094772164042]}"
99_0,0.17386308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.31537766699772,3.891950968447827]}"
100_0,0.19828132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.51587706413135,5.172050248318145]}"
101_0,0.23346487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.95605155334991,5.634682619639698]}"
102_0,0.34963906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.10714360985696,5.702056265948663]}"
103_0,0.6511067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.02342519965887,4.390515951134161]}"
104_0,46.39149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.1357146101738,4.673485265631811]}"
105_0,0.23550953,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.39011292435461,5.185524977579938]}"
106_0,0.19287257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.37663819509282,4.691451571314201]}"
107_0,1.3042817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.40970077183027,4.6420442306876275]}"
108_0,0.2009818,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.05324469280978,3.936866732653803]}"
109_0,0.2934667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.12673145733262,5.652648925322089]}"
110_0,0.25015017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.26884036099848,4.004240378962767]}"
111_0,0.18829781,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.62816647464628,4.983404038653045]}"
